name,tag,region,rr,rank,puuid
fd6mon,666,br,0,4845,6b0fd6fe-ebf6-5b65-9e25-c383432e0298
mizhan,shin,br,0,4870,20740f1a-8cb3-5f53-ae35-a4603370dee3
gTr,facil,br,0,4959,c0567280-b5a9-5a72-a333-2596ce7a5cbd
JuniorG09,ttv,br,0,4976,0e0b611f-1b34-587e-a746-ce1d5e0453ee
DK SmokeKing,asd,ap,853,10,1c0ea951-7887-59ab-9a8b-1e480ea1769b
grumble,1111,ap,767,25,13727f06-0106-5460-9791-2661dc61ac8c
KHReign,念念神,ap,757,28,a2b373a4-0070-5b8a-af6f-a0653de63f7f
b00nnnnn,grind,ap,746,32,e133eeb9-4e51-5a7c-983b-6b70e6daf838
抖音Ruthlessness,1012,ap,741,36,6199bbeb-5da4-5b20-b7c6-61dbd72c77a2
FANCY twilight,zzzz,ap,691,65,6e31103c-f449-5597-9bf4-18e8ace6e33f
broskii,mood,ap,677,74,d08157d7-4aef-57c5-9741-a39709264774
BEØM,0702,ap,665,84,bb47e246-60b3-5f6a-a97c-0612d290858e
T1 BuZz,5555,ap,640,109,2feab5c1-ad3e-5d47-aec3-1d725212f18c
ZesBeeW,666,ap,611,150,054941b0-9160-5df8-a299-9b3aa1acdbff
AAA基础设施陈总,33183,ap,600,175,91ee6410-92f7-5fb5-8cd8-8aeb9283a97c
VARREL Klaus,1337,ap,577,204,ae8ed9d4-19cb-53bd-aab4-f4a5ece7447c
Summer,mnr,ap,564,231,275dc1c5-dfac-596c-ade5-ec1784a345d1
GS9,wink,ap,548,267,44dbf86e-0f26-5f29-84bd-edb5e915a3dc
OG 16Chops,2005,ap,543,279,37473639-44a1-554d-89c7-524abd3cf033
AQ FFs,1111,ap,536,293,91e08237-01b3-5756-a9c1-cae301772232
RIGX BXXXNXX,xxx,ap,518,349,d495061a-c75e-5c1f-a863-54e89421381e
Selfmade,clid,ap,517,350,383c20cd-280e-5778-a3b6-64228158b73d
rinrin,22222,ap,513,375,dc172ebd-655c-5f76-a456-2865e037a63c
