name,tag,region,rr,rank,puuid
etnaa,cold,eu,686,78,bff863b3-3919-5579-b01c-5ae9e13bc8fe
SGE MONSTEERR,Inori,eu,684,79,68f2da33-c326-5da9-b500-3db82fa1a410
CESTMOIWESH,DZ213,eu,684,80,a051dae9-b71d-5736-8b8f-337784fbbff9
ULF s0pp,tyshi,eu,683,81,b1106ce0-cef1-5b36-ac0b-5160444fb129
gods plan dasyy,nmbr1,eu,683,82,09313e7d-ead2-5276-8dfa-8b4859f62c43
OdinAbuser,fun,eu,683,83,d9a9af2b-9874-5000-9cb4-33f36c2749d8
screwdriver,sens,eu,681,84,99da6d7d-df31-58f3-b018-962bcee369fd
KING TITOUNE,BOSS,eu,681,85,81e0a228-6043-593c-823b-77913d81c38b
Aimless,aLTTT,eu,680,86,b3fe9ccb-40ca-584c-bbd0-b30975ad72b8
Hafti,069,eu,680,87,0db79691-42cf-5968-bf8c-4373e84b68fc
BARÇA Kajuks,1337,eu,678,88,3b0251b9-75db-5a47-bced-b95a56ebc47a
ULF d3mur,3131,eu,677,89,6b2344f6-507b-5246-b703-14b60e9d896a
SPMAK,Zyria,eu,676,90,f71e4687-fb74-55a9-a2b1-f590b2dcd928
fang,722,eu,672,91,410f7162-3566-53ff-9028-ae378066c83a
puppy boy,aim,eu,672,92,a280b462-560a-554d-a92d-e2a1b3bc63ee
yuwsima,няш,eu,671,93,28687052-3e7f-57bd-9fdb-f9dfbffb4637
sekaiohakaisuru,1608,eu,671,94,89276000-9de8-5149-bac3-c9c17adceed6
Escape,1010,eu,671,95,f7d0937b-95a6-516f-860b-a262f8481980
Ydraxx,aim,eu,667,96,62dc54b4-b4ee-5f15-b67c-4216800aa08b
connЯ,ayri,eu,666,97,e334f997-c0cb-5c36-86d4-1a5e799db397
GS werlass,JACKB,eu,664,98,48cea567-c83d-546c-b803-4c5d052db60d
FMG 77even,1377,eu,664,99,19e4b7ce-65a9-5bd7-a977-a1300ec0ff50
Anq,awe,eu,661,100,d4ec69bd-91bb-5f7d-96a1-ec12bb819e30
Lusadris,ddddd,eu,660,101,71b7c04f-1755-5ea7-9bc1-ff3686e29e20
UnBilledClub39,fin,eu,658,102,97cef2d1-2aba-51e8-98ef-36258bd641fb
TH ComeBack,Aegon,eu,657,103,3ffabd3e-e63c-5ec2-a6ab-2faa00038669
depressed abuser,syd,eu,657,104,65d9ccd3-dd39-5377-beb7-150aca5696c6
,,eu,655,105,
,,eu,655,106,
TOG oruK,Kuro,eu,653,107,04e8c363-cf04-5264-a5e2-9b549e9a94c5
UMP45,yzeii,eu,651,108,07b16726-160f-5e02-a258-0bc9bac7df86
KPI delamac,1000,eu,651,109,36583034-84cd-5d86-aca4-8932bf8adf8a
