name,tag,region,rr,rank,puuid
S L U S H Y,feekz,ap,106,5833,cd054753-8b9b-50c8-8e0a-9a68af1dda8b
AQ FFs,1111,ap,536,293,91e08237-01b3-5756-a9c1-cae301772232
SangraM,8080,ap,133,4566,af0660ef-f081-55a8-8b8c-006f97ff5f20
retiredmoth,Moth,ap,107,5805,8b5c1fc8-d647-575d-a5b3-dc91a4dfab24
萬里長城,WALL,ap,135,4491,cd2b2275-1199-568f-af5d-0aa79f68fa14
Almond Chocolate,0511,ap,123,4949,7ad4bae1-ac96-5f1a-8760-0b3d5b37b69f
えげつない,他責duo,ap,123,4977,0f5e0571-a0fb-5ed9-93ea-062fc98a1033
I lost her,hers,ap,112,5510,3c75734a-429a-5656-80d6-7f505db9a2f0
lvr,300,ap,237,2191,d1a18168-0981-526e-ae93-01672f0bf5cf
FANCY twilight,zzzz,ap,691,65,6e31103c-f449-5597-9bf4-18e8ace6e33f
imeow,baby,ap,124,4908,2a86f4cb-d78e-5d2d-ba48-9bb883f19d14
Лисы,NWB,ap,109,5663,8440f512-e4b3-5562-b306-b9318c46aa07
desperate,thh,ap,151,3994,75425651-268c-5c34-b0fd-0b23aa14eeda
kikifinalboss절대,diff,ap,232,2250,fb4caf79-2299-5d71-9aa0-6bdff0e230ba
XII UZI,GOSU,ap,463,555,31645bdd-6f0c-54b6-8aa3-d893fb4e9995
ハハハハハハハハハハハハハハハハ,Ivhan,ap,324,1276,02058f28-3b48-51bc-b41f-d58b6b10b4e9
SynX,imh19,ap,206,2723,82929354-a7e3-509c-b01b-8ee04a8b04dd
F4foxxy,XGOD,ap,268,1799,2ba38aff-522d-585f-af26-b1222702d825
ΛKΛZΞ,cheat,ap,167,3580,1cfd60b6-3c4c-5ed1-ae94-ee895e20af2c
fang,aaqq,ap,425,693,2ad0f27d-85e9-5b7e-b2d8-3b7de81ed2e2
발로1일차,Day1,ap,822,14,ad30e461-e2a8-5bdc-b613-2d0570cf7787
monyet,0506,ap,676,75,db994c6a-56be-5835-a09e-6779a484b60f
